danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
0.184,0.0797,1,-17.406,1,0.0473,0.98,2.33e-05,0.105,0.0381,74.461,audio_features,5NcdTRAfPK9skJE1er22ST,spotify:track:5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/tracks/5NcdTRAfPK9skJE1er22ST,https://api.spotify.com/v1/audio-analysis/5NcdTRAfPK9skJE1er22ST,301013,3
0.359,0.301,5,-18.633,0,0.0587,0.886,0.619,0.0361,0.0909,110.244,audio_features,3mhNOjyMXnlPH8bPb4nsvf,spotify:track:3mhNOjyMXnlPH8bPb4nsvf,https://api.spotify.com/v1/tracks/3mhNOjyMXnlPH8bPb4nsvf,https://api.spotify.com/v1/audio-analysis/3mhNOjyMXnlPH8bPb4nsvf,689907,3
0.292,0.322,7,-15.167,1,0.0347,0.907,0.735,0.126,0.108,99.624,audio_features,4TN0Mb4c3YN1lBVIVpRZvN,spotify:track:4TN0Mb4c3YN1lBVIVpRZvN,https://api.spotify.com/v1/tracks/4TN0Mb4c3YN1lBVIVpRZvN,https://api.spotify.com/v1/audio-analysis/4TN0Mb4c3YN1lBVIVpRZvN,296973,3
0.292,0.322,7,-15.167,1,0.0347,0.907,0.735,0.126,0.108,99.624,audio_features,4TN0Mb4c3YN1lBVIVpRZvN,spotify:track:4TN0Mb4c3YN1lBVIVpRZvN,https://api.spotify.com/v1/tracks/4TN0Mb4c3YN1lBVIVpRZvN,https://api.spotify.com/v1/audio-analysis/4TN0Mb4c3YN1lBVIVpRZvN,296973,3
0.507,0.301,11,-9.839,0,0.0839,0.352,0.000145,0.467,0.284,121.891,audio_features,3Uemhr6tjTk5mb1Ag0K3UX,spotify:track:3Uemhr6tjTk5mb1Ag0K3UX,https://api.spotify.com/v1/tracks/3Uemhr6tjTk5mb1Ag0K3UX,https://api.spotify.com/v1/audio-analysis/3Uemhr6tjTk5mb1Ag0K3UX,346658,3
0.922,0.12,10,-13.978,0,0.112,0.466,0.792,0.0986,0.453,116.091,audio_features,69CGLTPXh5TNa1PsFJLRId,spotify:track:69CGLTPXh5TNa1PsFJLRId,https://api.spotify.com/v1/tracks/69CGLTPXh5TNa1PsFJLRId,https://api.spotify.com/v1/audio-analysis/69CGLTPXh5TNa1PsFJLRId,212096,4
0.718,0.335,9,-9.778,1,0.0507,0.875,9.39e-06,0.245,0.155,140.015,audio_features,0zxMI8gVe5FhVLbfLJbTWD,spotify:track:0zxMI8gVe5FhVLbfLJbTWD,https://api.spotify.com/v1/tracks/0zxMI8gVe5FhVLbfLJbTWD,https://api.spotify.com/v1/audio-analysis/0zxMI8gVe5FhVLbfLJbTWD,206446,4
