danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Clusters
0.784,0.888,4,-6.617,0,0.165,0.0158,0.892,0.169,0.13,135.995,360000,4,9
0.62,0.701,1,-9.663,1,0.0445,0.000809,0.865,0.119,0.187,134.999,405439,4,9
0.786,0.908,7,-10.402,1,0.057,0.00609,0.867,0.11,0.0543,134.995,371556,4,9
0.635,0.983,1,-6.244,0,0.0516,0.2,0.839,0.419,0.035,132.007,207273,4,9
0.789,0.957,7,-6.644,1,0.0599,0.0261,0.848,0.109,0.409,132.004,386364,4,9
0.788,0.915,7,-4.904,1,0.0431,0.000695,0.839,0.0962,0.0934,132.005,509091,4,9
0.732,0.627,11,-13.712,1,0.0524,0.000174,0.895,0.0981,0.266,131.007,239084,4,9
0.794,0.914,0,-6.117,1,0.0662,0.0082,0.863,0.0655,0.0447,130.005,388500,4,9
0.816,0.926,0,-5.279,1,0.201,0.0255,0.901,0.138,0.456,130.0,181054,4,9
0.715,0.909,10,-7.94,0,0.0484,0.00405,0.919,0.258,0.287,130.006,430000,4,9
0.735,0.892,2,-10.869,1,0.0663,0.0124,0.781,0.116,0.0355,132.006,359250,4,9
0.674,0.925,7,-4.47,1,0.0665,0.00155,0.841,0.377,0.359,132.989,403308,4,9
0.707,0.815,7,-6.2,1,0.147,0.00499,0.828,0.0874,0.148,133.024,206626,4,9
0.688,0.933,7,-6.308,1,0.0864,0.000515,0.753,0.066,0.172,133.975,343881,4,9
0.662,0.805,7,-4.075,1,0.0616,0.00389,0.812,0.0909,0.171,135.999,360000,4,9
0.738,0.91,9,-8.938,0,0.107,0.00118,0.874,0.0939,0.124,137.022,400625,4,9
0.616,0.992,11,-7.528,1,0.0567,0.000574,0.927,0.114,0.102,134.994,400154,4,9
0.705,0.957,11,-6.026,1,0.0406,0.00947,0.835,0.125,0.0615,133.007,407820,4,9
0.595,0.708,7,-8.958,1,0.0415,0.121,0.605,0.103,0.204,133.007,389774,3,9
0.658,0.886,2,-7.409,1,0.0859,0.0102,0.849,0.066,0.354,132.005,410909,4,9
0.695,0.95,6,-8.43,1,0.105,0.000327,0.881,0.324,0.184,131.988,298182,4,9
0.577,0.894,8,-7.955,1,0.0429,0.0117,0.787,0.159,0.15,131.996,229545,4,9
0.776,0.958,11,-4.141,0,0.0625,0.00271,0.915,0.0645,0.143,131.008,378185,4,9
0.757,0.918,2,-4.932,1,0.0548,0.00336,0.853,0.255,0.113,129.982,387808,4,9
0.67,0.966,1,-9.557,1,0.0526,0.00257,0.741,0.119,0.144,127.985,253242,4,9
0.668,0.81,6,-7.906,0,0.0348,0.0123,0.878,0.1,0.121,127.005,413376,4,9
0.572,0.913,10,-8.185,0,0.0429,0.00493,0.629,0.0702,0.198,129.993,288672,4,9
0.765,0.935,8,-6.796,1,0.0751,0.000407,0.863,0.0966,0.175,130.011,413538,4,9
0.79,0.973,10,-7.616,0,0.167,0.000104,0.868,0.0645,0.0506,130.006,392009,4,9
0.737,0.99,7,-4.795,1,0.0717,0.000728,0.88,0.0957,0.184,129.021,438791,3,9
0.638,0.951,6,-5.625,1,0.0532,0.00497,0.921,0.123,0.247,130.0,384000,4,9
0.692,0.742,1,-8.118,1,0.0348,0.00583,0.897,0.14,0.112,131.999,351023,4,9
0.777,0.765,7,-6.377,1,0.0503,0.00217,0.829,0.0755,0.0377,132.001,411304,4,9
0.633,0.8,7,-8.492,1,0.0443,0.00756,0.876,0.104,0.0387,132.997,396992,4,9
0.639,0.918,11,-8.736,0,0.0767,0.00181,0.821,0.0691,0.276,133.021,260000,4,9
0.729,0.951,1,-6.235,1,0.0706,0.000282,0.844,0.113,0.239,135.005,290526,4,9
0.746,0.875,1,-7.598,1,0.0478,0.0132,0.912,0.105,0.371,133.992,415077,4,9
0.779,0.908,11,-4.197,0,0.0732,0.00287,0.891,0.11,0.261,135.005,357228,4,9
0.651,0.899,11,-10.093,0,0.0552,0.0228,0.918,0.0894,0.422,138.019,312490,4,9
0.625,0.977,1,-9.142,1,0.0559,0.00164,0.871,0.101,0.436,139.969,366500,4,9
0.733,0.941,6,-8.309,1,0.0581,0.00208,0.863,0.0797,0.0657,132.013,440455,4,9
0.592,0.892,4,-6.983,0,0.0422,3.44e-05,0.83,0.111,0.157,132.008,292989,4,9
0.789,0.976,3,-5.886,1,0.057,0.0065,0.849,0.0639,0.258,131.99,408669,4,9
0.871,0.674,2,-6.962,1,0.191,0.0144,0.941,0.104,0.408,130.996,386043,4,9
0.622,0.861,5,-4.998,0,0.074,0.00522,0.52,0.615,0.121,130.073,223385,4,4
0.654,0.968,11,-4.846,0,0.109,0.0659,0.942,0.117,0.337,130.001,261231,4,9
0.728,0.905,7,-7.073,1,0.0513,0.000716,0.914,0.0944,0.161,129.983,371135,4,9
0.731,0.962,6,-8.816,0,0.0622,0.000166,0.742,0.113,0.419,129.982,305538,4,9
0.716,0.837,7,-8.215,1,0.0659,0.00837,0.758,0.103,0.318,127.998,380625,4,9
0.8,0.836,2,-7.413,1,0.0562,0.00051,0.846,0.0763,0.08,127.015,360008,4,9
0.67,0.752,7,-10.196,1,0.0612,0.049,0.867,0.0736,0.327,128.007,412499,4,9
0.761,0.688,11,-10.385,0,0.106,0.0266,0.628,0.0821,0.0616,128.005,399375,4,9
0.304,0.98,7,-5.713,1,0.0585,9.28e-05,0.907,0.661,0.0683,132.01,214606,4,4
0.615,0.834,1,-6.037,1,0.0582,0.000284,0.778,0.158,0.297,150.009,384240,4,9
0.69,0.697,6,-9.231,0,0.0785,0.0105,0.898,0.148,0.451,137.951,372174,4,9
0.73,0.741,1,-8.162,1,0.043,0.000559,0.827,0.106,0.223,131.997,382046,4,9
0.744,0.697,10,-9.033,0,0.0575,0.00189,0.855,0.62,0.434,129.994,205696,4,4
0.541,0.925,6,-8.464,1,0.0421,0.0191,0.893,0.113,0.238,129.986,443769,4,9
0.733,0.97,11,-5.998,0,0.0529,0.00269,0.918,0.106,0.06,133.987,390448,3,9
0.659,0.932,11,-6.211,0,0.071,0.000481,0.838,0.0996,0.161,132.999,389774,4,9
0.299,0.0561,5,-19.55,1,0.0337,0.955,0.716,0.0999,0.137,105.634,598080,4,0
0.161,0.14,9,-16.835,1,0.042,0.725,0.747,0.266,0.179,173.546,358950,3,6
0.404,0.335,10,-17.051,0,0.0331,0.958,0.245,0.0917,0.338,109.574,306183,3,6
0.511,0.0366,10,-28.84,1,0.0396,0.973,0.731,0.0541,0.336,116.703,194387,4,0
0.199,0.00921,11,-35.616,0,0.0393,0.99,0.98,0.106,0.0381,68.879,239751,3,0
0.134,0.133,1,-14.791,1,0.037,0.976,0.923,0.0995,0.0471,172.99,333080,4,0
0.454,0.139,4,-24.564,1,0.0368,0.977,0.916,0.124,0.246,176.031,178761,4,0
0.208,0.0666,1,-23.591,1,0.0352,0.993,0.876,0.0742,0.0911,68.338,337580,4,0
0.385,0.0738,2,-19.369,1,0.0439,0.84,0.947,0.155,0.173,142.337,251200,4,0
0.29,0.0895,8,-29.999,1,0.0406,0.989,0.871,0.117,0.477,128.79,328124,4,0
0.299,0.254,9,-14.218,0,0.0473,0.995,0.134,0.098,0.14,67.008,176000,3,6
0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,166867,4,0
0.249,0.0934,2,-16.541,1,0.035,0.986,0.863,0.199,0.09,93.623,705000,4,0
0.364,0.121,7,-20.397,0,0.0402,0.969,1.34e-06,0.0981,0.0864,86.171,91320,3,6
0.326,0.196,7,-19.668,0,0.0437,0.919,0.871,0.0909,0.195,121.288,427507,4,0
0.511,0.0985,8,-21.909,1,0.049,0.991,0.953,0.122,0.0702,80.784,112000,3,6
0.509,0.23,4,-24.055,1,0.0685,0.968,0.887,0.118,0.915,137.067,204826,4,0
0.811,0.131,9,-19.953,0,0.137,0.995,0.965,0.121,0.971,114.992,58375,4,0
0.32,0.233,7,-12.157,0,0.0342,0.823,0.179,0.268,0.4,139.477,158627,4,3
0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,207267,3,6
0.162,0.0898,2,-23.269,0,0.0354,0.944,0.917,0.187,0.0413,132.047,169667,3,6
0.308,0.0985,6,-23.824,1,0.0383,0.983,0.94,0.108,0.299,93.057,120140,4,0
0.493,0.419,5,-18.825,1,0.0444,0.952,0.948,0.109,0.973,104.228,60250,4,0
0.569,0.124,4,-24.487,0,0.0399,0.959,0.935,0.0785,0.496,143.498,151400,4,0
0.442,0.166,5,-21.493,1,0.0598,0.993,0.949,0.111,0.866,111.037,47000,4,0
0.611,0.252,2,-19.564,0,0.0549,0.974,0.927,0.109,0.852,99.987,60750,3,6
0.149,0.128,2,-20.459,1,0.0462,0.944,0.928,0.0703,0.113,47.362,415813,3,6
0.596,0.0199,2,-25.574,0,0.308,0.99,0.853,0.0856,0.339,110.372,53551,3,6
0.233,0.537,3,-13.141,1,0.0616,0.482,0.773,0.0789,0.0857,85.021,229000,4,0
0.231,0.0428,4,-26.084,1,0.0384,0.983,0.946,0.0789,0.0396,137.851,735000,4,0
0.251,0.219,7,-16.781,1,0.0323,0.929,0.933,0.0824,0.0965,89.997,325000,3,6
0.499,0.351,9,-11.509,0,0.0448,0.951,9.94e-05,0.118,0.616,90.664,235947,4,3
0.201,0.0765,0,-20.07,1,0.0521,0.948,0.00208,0.133,0.0844,79.929,409960,5,0
0.468,0.411,9,-11.097,0,0.0668,0.91,0.0449,0.159,0.636,122.532,227067,3,6
0.333,0.136,0,-27.102,0,0.0393,0.995,0.85,0.105,0.322,113.569,98033,4,0
0.428,0.103,0,-27.044,0,0.0586,0.996,0.871,0.101,0.885,163.355,97797,4,0
0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,152280,4,0
0.427,0.0451,3,-24.698,1,0.041,0.99,0.913,0.112,0.0707,119.78,268427,3,6
0.276,0.189,10,-26.055,1,0.0458,0.988,0.935,0.247,0.508,137.199,94511,4,0
0.459,0.301,10,-24.239,1,0.0463,0.992,0.878,0.202,0.26,93.718,104777,3,6
0.278,0.277,2,-16.852,0,0.0338,0.908,0.936,0.142,0.0597,179.997,332612,3,6
0.356,0.112,9,-20.032,1,0.0469,0.924,0.548,0.0737,0.123,96.729,846413,4,0
0.229,0.00756,4,-26.971,0,0.0398,0.894,0.0639,0.104,0.0399,131.936,526373,4,0
0.274,0.0815,2,-22.167,1,0.0586,0.944,0.69,0.104,0.129,56.913,598453,4,0
0.362,0.272,9,-17.672,1,0.0408,0.856,0.697,0.0709,0.381,147.235,556520,4,0
0.294,0.0818,5,-24.056,1,0.0327,0.994,0.965,0.103,0.467,40.552,55226,4,0
0.366,0.0385,9,-24.113,0,0.0401,0.996,0.951,0.0735,0.365,84.569,81390,1,6
